BASKET_ID,AIR CARE,ANALGESICS,BACON,BAG SNACKS,BAKED BREAD/BUNS/ROLLS,BAKED SWEET GOODS,BAKING NEEDS,BEEF,BEERS/ALES,BERRIES,BLEACH,BREAKFAST SAUSAGE/SANDWICHES,BROOMS AND MOPS,CAKES,CANDY - CHECKLANE,CANDY - PACKAGED,CANNED JUICES,CHARCOAL AND LIGHTER FLUID,CHEESE,CHEESES,CHICKEN,CIGARETTES,COLD AND FLU,COLD CEREAL,CONDIMENTS/SAUCES,CONVENIENT BRKFST/WHLSM SNACKS,COOKIES,COOKIES/CONES,CORN,COUPON,COUPON/MISC ITEMS,CRACKERS/MISC BKD FD,DELI MEATS,DEODORANTS,DINNER MXS:DRY,DRY BN/VEG/POTATO/RICE,DRY NOODLES/PASTA,DRY SAUCES/GRAVY,EGGS,FEMININE HYGIENE,FIRST AID PRODUCTS,FLUID MILK PRODUCTS,FROZEN MEAT,FROZEN PIE/DESSERTS,FROZEN PIZZA,FRUIT - SHELF STABLE,FRZN BREAKFAST FOODS,FRZN MEAT/MEAT DINNERS,FRZN NOVELTIES/WTR ICE,FRZN VEGETABLE/VEG DSH,HEAT/SERVE,HISPANIC,HOT CEREAL,HOUSEHOLD CLEANG NEEDS,ICE CREAM/MILK/SHERBTS,IRONING AND CHEMICALS,JUICE,KITCHEN GADGETS,LIQUOR,LUNCHMEAT,MAGAZINE,MAKEUP AND TREATMENT,MARGARINES,MEAT - MISC,MEAT - SHELF STABLE,MILK BY-PRODUCTS,MISC. DAIRY,MOLASSES/SYRUP/PANCAKE MIXS,MUSHROOMS,ORAL HYGIENE PRODUCTS,PAPER HOUSEWARES,PASTA SAUCE,PET CARE SUPPLIES,PNT BTR/JELLY/JAMS,POPCORN,PORK,POTATOES,PREPARED FOOD,REFRGRATD DOUGH PRODUCTS,REFRGRATD JUICES/DRNKS,SALAD BAR,SALD DRSNG/SNDWCH SPRD,SEAFOOD - FROZEN,SHAVING CARE PRODUCTS,SHORTENING/OIL,SMOKED MEATS,SOFT DRINKS,SOUP,SPICES & EXTRACTS,SPRING/SUMMER SEASONAL,STATIONERY & SCHOOL SUPPLIES,SUGARS/SWEETNERS,SUNTAN,SWEET GOODS & SNACKS,TROPICAL FRUIT,VEGETABLES - SHELF STABLE,WAREHOUSE SNACKS,WATER - CARBONATED/FLVRD DRINK,YOGURT
27288377026,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,
27404676049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
27471976071,,,,,,,,X,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,
27496106798,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
27652047013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,X,,,,,,,,,,,,
27771857605,,,,X,X,X,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,X,,,X,,,X,,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
27771857614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
27855955496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27867995651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
28071976389,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,X,,,,,
28143956007,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,X,,,X,,,,,,,,,
28349822785,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
28680515735,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
29144608214,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,
29186005963,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,
29302837658,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,X,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,X,,,,,,,,,,,,
29513422261,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,X,X,,,,,,,X,,,,,,,,,X,,,
29531116865,,,,X,X,X,,,X,,,,,,,,,,X,,,,,,X,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
29776315965,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29776317638,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29814087567,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,,,X,,,,,,,,,,,,,
29872791599,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
30178790946,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
30541077983,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30541880783,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30590802826,,,,,X,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
30754188706,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
30912300033,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,X,,,
30945992558,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,X,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,
31204545817,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,X,,,,,,,,,,,,,,,X,,,,,,,,,X,,,
31363375004,X,,,X,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
31427002805,,,,,X,,,,,,,,,,,,,,,X,,,,X,,X,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,X,,,,,
31544502476,,,,X,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
31634832799,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
31753308790,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31806687698,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,X,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31911155580,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,
32055927313,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32209327507,,,,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,X,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,
32416696970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,
32481476487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32496221577,,,,,X,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32718722056,,,,X,,X,,,X,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,X,,,,,,,,,,,,
32733326941,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
32733327135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,
32733327440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32826516981,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,X,,,
33170877635,,,,X,X,,,X,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
33299707627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,
33463597079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,
33682991526,,,,,,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
35003630682,,,X,,,,,,,,,X,,,X,,,,,,,,,,,,,,,X,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,X,X,,X,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
35003632459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
35160422961,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,
35488996868,,,X,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,,,,,,,,,,,
35704195124,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
35704195127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
35846342418,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,X,,,,,,,,,X,,,
40052888019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
40138197783,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
40177228126,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,
40317578098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40414667703,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,X,,,X,,,,,,,,,,
40439012272,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
40463326886,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
40499462973,,,,,,X,,X,,,,,,,,,,,X,,,,,,,,,X,,,,X,,,,X,,X,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,X,,,
40568378159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,X,,,
40771486937,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
41355173952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
41655820646,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,X,,,,,X,,,,,,X,,,,,,X,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,X,,,,X,,,,X
41881398493,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
41973507751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
42012308423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,
42065993503,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
42142311779,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
